fecha,nombre_n3,USADOS
jul. 21,Nuestra Sra. de Lourdes,22403
jul. 21,Centro,21838
jul. 21,Barrio del Abasto,21669
jul. 21,Luis Agote,19723
jul. 21,Remedios Escalada de San Martín,21520
jul. 21,Alberto Olmedo,22296
ago. 21,Nuestra Sra. de Lourdes,23452
ago. 21,Barrio del Abasto,22587
ago. 21,Alberto Olmedo,23525
ago. 21,Centro,22922
ago. 21,Luis Agote,20265
ago. 21,Remedios Escalada de San Martín,22385
sep. 21,Barrio del Abasto,24329
sep. 21,Centro,23769
sep. 21,Alberto Olmedo,25769
sep. 21,Nuestra Sra. de Lourdes,26161
sep. 21,Luis Agote,21641
sep. 21,Remedios Escalada de San Martín,23536
oct. 21,Nuestra Sra. de Lourdes,28022
oct. 21,Barrio del Abasto,24956
oct. 21,Luis Agote,23139
oct. 21,Remedios Escalada de San Martín,25247
oct. 21,Alberto Olmedo,28004
oct. 21,Centro,24886
nov. 21,Centro,26925
nov. 21,Nuestra Sra. de Lourdes,28863
nov. 21,Alberto Olmedo,30505
nov. 21,Remedios Escalada de San Martín,26546
nov. 21,Luis Agote,24191
nov. 21,Barrio del Abasto,26594
dic. 21,Luis Agote,25930
dic. 21,Alberto Olmedo,33617
dic. 21,Nuestra Sra. de Lourdes,32425
dic. 21,Remedios Escalada de San Martín,28175
dic. 21,Centro,29228
dic. 21,Barrio del Abasto,29441
ene. 22,Remedios Escalada de San Martín,31038
ene. 22,Luis Agote,26985
ene. 22,Centro,31384
ene. 22,Alberto Olmedo,36843
ene. 22,Nuestra Sra. de Lourdes,35554
ene. 22,Barrio del Abasto,31596
feb. 22,Barrio del Abasto,35046
feb. 22,Nuestra Sra. de Lourdes,37603
feb. 22,Centro,33632
feb. 22,Luis Agote,29261
feb. 22,Alberto Olmedo,38508
feb. 22,Remedios Escalada de San Martín,34808
mar 22,Remedios Escalada de San Martín,38843
mar 22,Nuestra Sra. de Lourdes,41122
mar 22,Alberto Olmedo,41202
mar 22,Centro,37504
mar 22,Luis Agote,36107
mar 22,Barrio del Abasto,39850
abr 22,Nuestra Sra. de Lourdes,43863
abr 22,Remedios Escalada de San Martín,41987
abr 22,Barrio del Abasto,41537
abr 22,Luis Agote,39510
abr 22,Centro,40547
abr 22,Alberto Olmedo,44936
may. 22,Barrio del Abasto,43601
may. 22,Alberto Olmedo,50079
may. 22,Centro,44004
may. 22,Luis Agote,38872
may. 22,Remedios Escalada de San Martín,45880
may. 22,Nuestra Sra. de Lourdes,46933
jun. 22,Barrio del Abasto,47300
jun. 22,Remedios Escalada de San Martín,49019
jun. 22,Alberto Olmedo,54968
jun. 22,Centro,47009
jun. 22,Luis Agote,45777
jun. 22,Nuestra Sra. de Lourdes,50165
jul 22,Luis Agote,50861
jul 22,Nuestra Sra. de Lourdes,51515
jul 22,Barrio del Abasto,46633
jul 22,Remedios Escalada de San Martín,49223
jul 22,Alberto Olmedo,55511
jul 22,Centro,48081
ago. 22,Nuestra Sra. de Lourdes,54136
ago. 22,Luis Agote,48978
ago. 22,Remedios Escalada de San Martín,48467
ago. 22,Alberto Olmedo,56022
ago. 22,Centro,50287
ago. 22,Barrio del Abasto,46079
sep. 22,Alberto Olmedo,58371
sep. 22,Nuestra Sra. de Lourdes,58045
sep. 22,Remedios Escalada de San Martín,50989
sep. 22,Centro,52358
sep. 22,Luis Agote,51890
sep. 22,Barrio del Abasto,50318
oct. 22,Luis Agote,54314
