fecha,nombre_n3,INDEX
jun 21,Remedios Escalada de San Martín,20934
jun 21,Alberto Olmedo,22525
jun 21,Luis Agote,19471
jun 21,Centro,21577
jul. 21,Nuestra Sra. de Lourdes,22690
jul. 21,Centro,22174
jul. 21,Barrio del Abasto,22123
jul. 21,Luis Agote,19954
jul. 21,Remedios Escalada de San Martín,21769
jul. 21,Alberto Olmedo,22656
ago. 21,Nuestra Sra. de Lourdes,24019
ago. 21,Barrio del Abasto,22902
ago. 21,Alberto Olmedo,23698
ago. 21,Centro,23180
ago. 21,Luis Agote,20480
ago. 21,Remedios Escalada de San Martín,22742
sep. 21,Barrio del Abasto,24533
sep. 21,Centro,24077
sep. 21,Alberto Olmedo,26126
sep. 21,Nuestra Sra. de Lourdes,26329
sep. 21,Luis Agote,21820
sep. 21,Remedios Escalada de San Martín,24235
oct. 21,Nuestra Sra. de Lourdes,27967
oct. 21,Barrio del Abasto,25253
oct. 21,Luis Agote,23436
oct. 21,Remedios Escalada de San Martín,26225
oct. 21,Alberto Olmedo,28457
oct. 21,Centro,25178
nov. 21,Centro,27036
nov. 21,Nuestra Sra. de Lourdes,29466
nov. 21,Alberto Olmedo,30605
nov. 21,Remedios Escalada de San Martín,27335
nov. 21,Luis Agote,24316
nov. 21,Barrio del Abasto,26435
dic. 21,Luis Agote,26085
dic. 21,Alberto Olmedo,33531
dic. 21,Nuestra Sra. de Lourdes,32978
dic. 21,Remedios Escalada de San Martín,28780
dic. 21,Centro,29310
dic. 21,Barrio del Abasto,29149
ene. 22,Remedios Escalada de San Martín,32025
ene. 22,Luis Agote,28016
ene. 22,Centro,31635
ene. 22,Alberto Olmedo,36814
ene. 22,Nuestra Sra. de Lourdes,35444
ene. 22,Barrio del Abasto,31837
feb. 22,Barrio del Abasto,35304
feb. 22,Nuestra Sra. de Lourdes,37401
feb. 22,Centro,34286
feb. 22,Luis Agote,30015
feb. 22,Alberto Olmedo,38948
feb. 22,Remedios Escalada de San Martín,35549
mar 22,Remedios Escalada de San Martín,38512
mar 22,Nuestra Sra. de Lourdes,41277
mar 22,Alberto Olmedo,43130
mar 22,Centro,38328
mar 22,Luis Agote,36109
mar 22,Barrio del Abasto,39103
abr 22,Nuestra Sra. de Lourdes,44443
abr 22,Remedios Escalada de San Martín,42003
abr 22,Barrio del Abasto,40340
abr 22,Luis Agote,39772
abr 22,Centro,41157
abr 22,Alberto Olmedo,47932
may. 22,Barrio del Abasto,42905
may. 22,Alberto Olmedo,51212
may. 22,Centro,44473
may. 22,Luis Agote,42311
may. 22,Remedios Escalada de San Martín,46116
may. 22,Nuestra Sra. de Lourdes,46764
jun. 22,Barrio del Abasto,47446
jun. 22,Remedios Escalada de San Martín,48925
jun. 22,Alberto Olmedo,56339
jun. 22,Centro,47657
jun. 22,Luis Agote,49898
jun. 22,Nuestra Sra. de Lourdes,49780
jul 22,Luis Agote,54227
jul 22,Nuestra Sra. de Lourdes,52056
jul 22,Barrio del Abasto,47973
jul 22,Remedios Escalada de San Martín,49411
jul 22,Alberto Olmedo,58471
jul 22,Centro,49020
ago. 22,Nuestra Sra. de Lourdes,55054
ago. 22,Luis Agote,55021
ago. 22,Remedios Escalada de San Martín,49963
ago. 22,Alberto Olmedo,58807
ago. 22,Centro,51358
ago. 22,Barrio del Abasto,48316
sep. 22,Alberto Olmedo,61567
sep. 22,Nuestra Sra. de Lourdes,58814
sep. 22,Remedios Escalada de San Martín,52730
sep. 22,Centro,53431
sep. 22,Luis Agote,55385
sep. 22,Barrio del Abasto,52228
oct. 22,Luis Agote,55482
oct. 22,Remedios Escalada de San Martín,56466
oct. 22,Centro,54210
oct. 22,Nuestra Sra. de Lourdes,61136
oct. 22,Barrio del Abasto,56437
oct. 22,Alberto Olmedo,64183
nov. 22,Nuestra Sra. de Lourdes,63169
nov. 22,Remedios Escalada de San Martín,59181
nov. 22,Luis Agote,58591
nov. 22,Centro,55063
nov. 22,Barrio del Abasto,57350
nov. 22,Alberto Olmedo,66664
dic. 22,Nuestra Sra. de Lourdes,65212
dic. 22,Remedios Escalada de San Martín,60728
dic. 22,Luis Agote,62917
dic. 22,Centro,57528
dic. 22,Barrio del Abasto,58812
dic. 22,Alberto Olmedo,68571
ene. 23,Barrio del Abasto,60022
ene. 23,Alberto Olmedo,72155
ene. 23,Centro,60766
ene. 23,Nuestra Sra. de Lourdes,69331
ene. 23,Luis Agote,67404
ene. 23,Remedios Escalada de San Martín,61786
feb. 23,Nuestra Sra. de Lourdes,74653
feb. 23,Luis Agote,73442
feb. 23,Centro,65348
feb. 23,Barrio del Abasto,61944
feb. 23,Alberto Olmedo,78115
feb. 23,Remedios Escalada de San Martín,66202
mar. 23,Alberto Olmedo,82553
mar. 23,Centro,70685
mar. 23,Nuestra Sra. de Lourdes,78030
mar. 23,Luis Agote,75659
mar. 23,Remedios Escalada de San Martín,72085
mar. 23,Barrio del Abasto,69716
abr. 23,Luis Agote,76555
abr. 23,Centro,76107
abr. 23,Barrio del Abasto,77188
abr. 23,Nuestra Sra. de Lourdes,83626
abr. 23,Alberto Olmedo,87638
abr. 23,Remedios Escalada de San Martín,77175
may. 23,Nuestra Sra. de Lourdes,93307
may. 23,Barrio del Abasto,82858
may. 23,Alberto Olmedo,94200
may. 23,Remedios Escalada de San Martín,83277
may. 23,Luis Agote,78673
may. 23,Centro,81984
jun. 23,Remedios Escalada de San Martín,89983
jun. 23,Alberto Olmedo,95968
jun. 23,Nuestra Sra. de Lourdes,100810
jun. 23,Centro,89448
jun. 23,Barrio del Abasto,89023
jun. 23,Luis Agote,83656
jul. 23,Alberto Olmedo,98744
jul. 23,Nuestra Sra. de Lourdes,110105
jul. 23,Remedios Escalada de San Martín,99276
jul. 23,Barrio del Abasto,96280
jul. 23,Luis Agote,92701
jul. 23,Centro,96930
ago. 23,Luis Agote,102867
ago. 23,Nuestra Sra. de Lourdes,123070
ago. 23,Barrio del Abasto,107233
ago. 23,Remedios Escalada de San Martín,108338
ago. 23,Centro,107635
ago. 23,Alberto Olmedo,110344
sep. 23,Centro,121515
sep. 23,Alberto Olmedo,124895
sep. 23,Luis Agote,114091
sep. 23,Remedios Escalada de San Martín,125479
sep. 23,Barrio del Abasto,116978
sep. 23,Nuestra Sra. de Lourdes,134189
oct. 23,Barrio del Abasto,138110
oct. 23,Centro,138792
oct. 23,Nuestra Sra. de Lourdes,148291
oct. 23,Luis Agote,143309
oct. 23,Alberto Olmedo,139401
oct. 23,Remedios Escalada de San Martín,142488
nov. 23,Centro,156709
nov. 23,Nuestra Sra. de Lourdes,170376
nov. 23,Remedios Escalada de San Martín,155639
nov. 23,Luis Agote,161562
nov. 23,Barrio del Abasto,164530
nov. 23,Alberto Olmedo,156006
dic. 23,Centro,172804
dic. 23,Nuestra Sra. de Lourdes,193538
dic. 23,Barrio del Abasto,183465
dic. 23,Remedios Escalada de San Martín,179916
dic. 23,Luis Agote,159586
dic. 23,Alberto Olmedo,178883
ene. 24,Remedios Escalada de San Martín,201606
ene. 24,Alberto Olmedo,204371
ene. 24,Centro,194960
ene. 24,Nuestra Sra. de Lourdes,208248
ene. 24,Luis Agote,183889
ene. 24,Barrio del Abasto,201419
feb. 24,Remedios Escalada de San Martín,212957
feb. 24,Centro,209264
feb. 24,Barrio del Abasto,215552
feb. 24,Nuestra Sra. de Lourdes,217113
feb. 24,Luis Agote,206658
feb. 24,Alberto Olmedo,222211
mar. 24,Remedios Escalada de San Martín,219811
mar. 24,Centro,213193
mar. 24,Alberto Olmedo,234609
mar. 24,Nuestra Sra. de Lourdes,228417
mar. 24,Luis Agote,213196
mar. 24,Barrio del Abasto,225672
abr. 24,Remedios Escalada de San Martín,223065
abr. 24,Centro,219275
abr. 24,Alberto Olmedo,240102
abr. 24,Nuestra Sra. de Lourdes,237719
abr. 24,Luis Agote,218382
abr. 24,Barrio del Abasto,230835
may 24,Alberto Olmedo,243355
may 24,Remedios Escalada de San Martín,226796
may 24,Luis Agote,221857
may 24,Barrio del Abasto,232306
may 24,Centro,227516
may 24,Nuestra Sra. de Lourdes,243799
jun 24,Luis Agote,228562
jun 24,Barrio del Abasto,231589
jun 24,Alberto Olmedo,251612
jun 24,Nuestra Sra. de Lourdes,250236
jun 24,Centro,233793
jun 24,Remedios Escalada de San Martín,234840
jul 24,Luis Agote,236603
jul 24,Barrio del Abasto,234973
jul 24,Alberto Olmedo,258888
jul 24,Nuestra Sra. de Lourdes,257371
jul 24,Centro,241444
jul 24,Remedios Escalada de San Martín,242325
ago 24,Luis Agote,240923
ago 24,Remedios Escalada de San Martín,254728
ago 24,Centro,254867
ago 24,Nuestra Sra. de Lourdes,269617
ago 24,Alberto Olmedo,269030
ago 24,Barrio del Abasto,242721
sep 24,Centro,267907
sep 24,Remedios Escalada de San Martín,267904
sep 24,Alberto Olmedo,282116
sep 24,Nuestra Sra. de Lourdes,283765
sep 24,Luis Agote,253563
sep 24,Barrio del Abasto,262843
oct 24,Centro,281114
oct 24,Remedios Escalada de San Martín,277956
oct 24,Alberto Olmedo,292735
oct 24,Nuestra Sra. de Lourdes,295048
oct 24,Luis Agote,276006
oct 24,Barrio del Abasto,286259
